bigram,n,total_sentiment
amazing humorous,2,positive
amazing improved,2,positive
amazing improvements,2,positive
amazing inspiring,2,positive
amazing kudos,2,positive
amazing lush,2,positive
amazing modern,2,positive
amazing perfectly,2,positive
amazing powerful,2,positive
amazing privilege,2,positive
amazing rockstar,2,positive
amazing satisfying,2,positive
amazing sensation,2,positive
amazing spiritual,2,positive
amazing surreal,2,positive
amazing sweet,2,positive
amazing talented,2,positive
amazing tough,2,positive
amazing treasure,2,positive
amazing vivid,2,positive
amazing wonders,2,positive
amazingly accurate,2,positive
amazingly awesomely,2,positive
amazingly cohesive,2,positive
amazingly enchanting,2,positive
amazingly engaging,2,positive
amazingly fantastic,2,positive
amazingly flexible,2,positive
amazingly free,2,positive
amazingly fresh,2,positive
amazingly friendly,2,positive
amazingly intelligent,2,positive
amazingly nice,2,positive
amazingly positive,2,positive
amazingly pretty,2,positive
amazingly relaxed,2,positive
amazingly responsive,2,positive
amazingly robust,2,positive
amazingly skilled,2,positive
amazingly stunning,2,positive
ample freedom,2,positive
amusing humour,2,positive
amusing nice,2,positive
amusingly fun,2,positive
anger joy,2,positive
anger pride,2,positive
angry fans,2,positive
angry strong,2,positive
annoyances worth,2,positive
annoying bloom,2,positive
annoying easy,2,positive
annoying fun,2,positive
annoying magic,2,positive
annoying safe,2,positive
annoying survival,2,positive
apocalypse survivor,2,positive
apocalyptic unreal,2,positive
appalling support,2,positive
appeal fans,2,positive
appealing bright,2,positive
appealing crisp,2,positive
appealing smooth,2,positive
appreciable progress,2,positive
appreciated classic,2,positive
arbitrary achievements,2,positive
articulate love,2,positive
asinine humor,2,positive
assault nimble,2,positive
astonishing beautiful,2,positive
astonishing heartfelt,2,positive
astonishing masterpiece,2,positive
astonishingly amazing,2,positive
astounding feat,2,positive
astounding masterpiece,2,positive
atrocious leading,2,positive
attack boost,2,positive
attack cool,2,positive
attack effectively,2,positive
attack free,2,positive
attack gem,2,positive
attack love,2,positive
attack nice,2,positive
attack pretty,2,positive
attack pros,2,positive
attack success,2,positive
attack successfully,2,positive
attack support,2,positive
attack survival,2,positive
attack trust,2,positive
attack worthy,2,positive
attacks ethical,2,positive
attacks faster,2,positive
attacks heal,2,positive
attacks leads,2,positive
attacks luck,2,positive
attacks super,2,positive
attacks survival,2,positive
attractive smart,2,positive
audibly appealing,2,positive
audibly stunning,2,positive
authentic believable,2,positive
authentic fun,2,positive
authentic survival,2,positive
avid magic,2,positive
avid supporter,2,positive
avid wow,2,positive
award brilliant,2,positive
award perfect,2,positive
award pros,2,positive
award whoa,2,positive
award wow,2,positive
awesome adventurous,2,positive
awesome balanced,2,positive
awesome charming,2,positive
awesome cute,2,positive
awesome dynamic,2,positive
awesome engrossing,2,positive
awesome entertaining,2,positive
awesome fairly,2,positive
awesome fans,2,positive
awesome friendly,2,positive
awesome glory,2,positive
awesome heroic,2,positive
awesome humble,2,positive
awesome innovative,2,positive
awesome intuitive,2,positive
awesome kudos,2,positive
awesome legendary,2,positive
awesome lovely,2,positive
awesome loving,2,positive
awesome magnificent,2,positive
awesome peace,2,positive
awesome positive,2,positive
awesome refreshing,2,positive
awesome remedy,2,positive
awesome satisfying,2,positive
awesome spiritual,2,positive
awesome stylish,2,positive
awesome success,2,positive
awesome swanky,2,positive
awesome sweet,2,positive
awesome talent,2,positive
awesome tough,2,positive
awesome upgraded,2,positive
awesome wholeheartedly,2,positive
awesome win,2,positive
awesomely cute,2,positive
awful pros,2,positive
awful survival,2,positive
awful win,2,positive
awful wow,2,positive
awkward free,2,positive
awsome pretty,2,positive
awsome recommend,2,positive
awsome super,2,positive
awsome survival,2,positive
bad achievements,2,positive
bad amusingly,2,positive
bad awesome,2,positive
bad balanced,2,positive
bad beautifully,2,positive
bad enjoyable,2,positive
bad fortunately,2,positive
bad glad,2,positive
bad illuminati,2,positive
bad incredibly,2,positive
bad kudos,2,positive
bad leading,2,positive
bad likes,2,positive
bad modern,2,positive
bad realistic,2,positive
bad refresh,2,positive
bad reward,2,positive
bad strong,2,positive
bad supporting,2,positive
bad variety,2,positive
bad victory,2,positive
badly supported,2,positive
balanced beautiful,2,positive
balanced enjoyable,2,positive
balanced fair,2,positive
balanced hero,2,positive
balanced love,2,positive
balanced pros,2,positive
balanced reward,2,positive
balanced win,2,positive
bargain trust,2,positive
beautiful achievements,2,positive
beautiful amazingly,2,positive
beautiful believable,2,positive
beautiful bright,2,positive
beautiful brilliantly,2,positive
beautiful clean,2,positive
beautiful crisp,2,positive
beautiful cute,2,positive
beautiful enchanting,2,positive
beautiful entertaining,2,positive
beautiful fancy,2,positive
beautiful golden,2,positive
beautiful incredibly,2,positive
beautiful intelligent,2,positive
beautiful inventive,2,positive
beautiful loved,2,positive
beautiful loving,2,positive
beautiful masterfully,2,positive
beautiful peace,2,positive
beautiful perfectly,2,positive
beautiful pros,2,positive
beautiful recommended,2,positive
beautiful satisfying,2,positive
beautiful sleek,2,positive
beautiful stylish,2,positive
beautiful tranquil,2,positive
beautifully amazing,2,positive
beautifully articulate,2,positive
beautifully brilliant,2,positive
beautifully creative,2,positive
beautifully elegant,2,positive
beautifully entertaining,2,positive
beautifully satisfying,2,positive
beauty nice,2,positive
believable authentic,2,positive
believable coherent,2,positive
benefit glorious,2,positive
betrayal love,2,positive
betrayal trust,2,positive
beware fun,2,positive
beware rockstar,2,positive
bias pros,2,positive
biased likes,2,positive
biting humour,2,positive
bitterly sweet,2,positive
bizarre surreal,2,positive
blame luck,2,positive
bland pretty,2,positive
bleak beauty,2,positive
bleed supporting,2,positive
bleeding instantly,2,positive
bleeding survivor,2,positive
blinding success,2,positive
bliss thoughtful,2,positive
blissfully easy,2,positive
blistering fast,2,positive
bloody brilliantly,2,positive
bloody delightful,2,positive
bloody fabulous,2,positive
bloody fast,2,positive
bloody lovely,2,positive
bloody miracle,2,positive
bloody nice,2,positive
bloody satisfying,2,positive
bloody shine,2,positive
bloody tickle,2,positive
bloody tough,2,positive
bloody worth,2,positive
blunt honesty,2,positive
blunt humour,2,positive
blur bloom,2,positive
boiling hot,2,positive
bomb fun,2,positive
bomb pretty,2,positive
bonus achievements,2,positive
bonus affection,2,positive
bonus pros,2,positive
bonus treasure,2,positive
boom pretty,2,positive
bored fun,2,positive
bored recommend,2,positive
bored rockstar,2,positive
boredom cure,2,positive
boredom relief,2,positive
boring awesome,2,positive
boring decent,2,positive
boring engaging,2,positive
boring excellent,2,positive
boring holy,2,positive
boring loved,2,positive
boring magic,2,positive
boring recommend,2,positive
bother free,2,positive
bother pros,2,positive
boundless fun,2,positive
brave courageous,2,positive
brave hero,2,positive
bravery wisdom,2,positive
bravo rockstar,2,positive
break love,2,positive
breaking advantages,2,positive
breaking award,2,positive
breaking happy,2,positive
breaking memorable,2,positive
breaking traction,2,positive
breaks promises,2,positive
breathtaking beautiful,2,positive
breathtaking gem,2,positive
breathtaking loved,2,positive
breathtaking masterpiece,2,positive
breathtaking strong,2,positive
breathtakingly realistic,2,positive
breathtakingly stunning,2,positive
bright attractive,2,positive
bright bright,2,positive
bright cute,2,positive
bright engaging,2,positive
bright fun,2,positive
bright happy,2,positive
bright memorable,2,positive
brilliant bonus,2,positive
brilliant bravo,2,positive
brilliant charming,2,positive
brilliant clever,2,positive
brilliant free,2,positive
brilliant gem,2,positive
brilliant genius,2,positive
brilliant humour,2,positive
brilliant kudos,2,positive
brilliant modern,2,positive
brilliant peace,2,positive
brilliant perfect,2,positive
brilliant pros,2,positive
brilliant skill,2,positive
brilliant smooth,2,positive
brilliant unreal,2,positive
brilliant wonderful,2,positive
brilliantly exciting,2,positive
broke pretty,2,positive
broke promises,2,positive
broken fairly,2,positive
broken fun,2,positive
broken hero,2,positive
broken magic,2,positive
broken poise,2,positive
broken promise,2,positive
broken pros,2,positive
broken support,2,positive
brutal easy,2,positive
brutal love,2,positive
brutal tough,2,positive
brutal victory,2,positive
brutally amazing,2,positive
brutally beautiful,2,positive
brutally fast,2,positive
brutally powerful,2,positive
brutally tough,2,positive
bug effectively,2,positive
bug pretty,2,positive
bug wow,2,positive
buggy achievement,2,positive
buggy free,2,positive
buggy glory,2,positive
buggy worth,2,positive
bugs glad,2,positive
bugs improve,2,positive
bugs overtake,2,positive
bugs properly,2,positive
bugs recommended,2,positive
bugs smooth,2,positive
bugs solid,2,positive
bugs stability,2,positive
bugs stable,2,positive
bugs support,2,positive
burning fun,2,positive
cackle worthy,2,positive
calm beautiful,2,positive
calm enjoyable,2,positive
calm fun,2,positive
calm peaceful,2,positive
calm quiet,2,positive
calm relaxed,2,positive
calm smart,2,positive
calm smooth,2,positive
calming fun,2,positive
calming pleasant,2,positive
cancer fun,2,positive
captivating fantastically,2,positive
captivating gorgeous,2,positive
captivating survival,2,positive
carnage awesome,2,positive
carnage pure,2,positive
cartoonish fun,2,positive
catchy upbeat,2,positive
catchy wow,2,positive
cave pretty,2,positive
challenging charming,2,positive
challenging competitive,2,positive
challenging encouraging,2,positive
challenging enjoy,2,positive
challenging fantastic,2,positive
challenging incredible,2,positive
challenging intriguing,2,positive
challenging lovely,2,positive
challenging luck,2,positive
challenging mature,2,positive
challenging memorable,2,positive
challenging perfect,2,positive
challenging recommend,2,positive
challenging smooth,2,positive
challenging solid,2,positive
challenging variety,2,positive
challenging wonderful,2,positive
chaos brilliant,2,positive
chaotic top,2,positive
charisma bonus,2,positive
charisma skill,2,positive
charm classic,2,positive
charm engaging,2,positive
charm fairly,2,positive
charm magic,2,positive
charm nice,2,positive
charm solid,2,positive
charm surreal,2,positive
charm worth,2,positive
charming classic,2,positive
charming easy,2,positive
charming engaging,2,positive
charming genius,2,positive
charming heartwarming,2,positive
charming refreshing,2,positive
charming strong,2,positive
cheap advantages,2,positive
cheap excellent,2,positive
cheap fantastic,2,positive
cheap humour,2,positive
cheap perfect,2,positive
cheap polished,2,positive
cheap pretty,2,positive
cheap recommended,2,positive
cheap trust,2,positive
cheap wins,2,positive
cheap wow,2,positive
cheaper faster,2,positive
cheaper worth,2,positive
cheat enjoy,2,positive
cheat pretty,2,positive
cheat rockstar,2,positive
cheater support,2,positive
cheating bonus,2,positive
cheating fortunately,2,positive
cheer luck,2,positive
cheery fun,2,positive
cheesy top,2,positive
cheesy wonders,2,positive
childish awe,2,positive
childish easy,2,positive
childish fun,2,positive
childish maturity,2,positive
chill enjoy,2,positive
chill fun,2,positive
chill pros,2,positive
chill recommended,2,positive
choppy decent,2,positive
classic award,2,positive
classic defender,2,positive
classic fairly,2,positive
classic favorite,2,positive
classic gorgeous,2,positive
classic humor,2,positive
classic marvel,2,positive
classic modern,2,positive
classic nice,2,positive
classic peace,2,positive
classic perfect,2,positive
classic pure,2,positive
classic renowned,2,positive
classic silent,2,positive
classic skill,2,positive
classic smooth,2,positive
classic supreme,2,positive
classic survivor,2,positive
classic tough,2,positive
classic wonderful,2,positive
classic wonderfully,2,positive
classic wow,2,positive
clean honest,2,positive
clean intuitive,2,positive
clean polished,2,positive
clean streamlined,2,positive
cleared fairly,2,positive
clever charming,2,positive
clever creative,2,positive
clever exciting,2,positive
clever humour,2,positive
clever loves,2,positive
clever nicely,2,positive
cleverly integrated,2,positive
cliche easy,2,positive
clunky fortunately,2,positive
clunky pretty,2,positive
clunky pros,2,positive
coherent effective,2,positive
cold breeze,2,positive
cold quiet,2,positive
colorful charismatic,2,positive
colorful cool,2,positive
colorful creative,2,positive
colorful crisp,2,positive
colorful cute,2,positive
colorful easy,2,positive
colorful futuristic,2,positive
colorful sweet,2,positive
colorful worth,2,positive
comfortable lead,2,positive
comfortable outstanding,2,positive
comical fun,2,positive
competitive awesome,2,positive
competitive balanced,2,positive
competitive cooperative,2,positive
competitive creative,2,positive
competitive easy,2,positive
competitive free,2,positive
competitive smooth,2,positive
competitive super,2,positive
complain smooth,2,positive
complained pretty,2,positive
complaints amazing,2,positive
complaints nice,2,positive
complaints worth,2,positive
complex accessible,2,positive
complex cool,2,positive
complex diplomatic,2,positive
complex engaging,2,positive
complex engrossing,2,positive
complex excellent,2,positive
complex love,2,positive
complex talent,2,positive
complicated sophisticated,2,positive
complicated talent,2,positive
comprehensive magic,2,positive
concede defeat,2,positive
concerned rockstar,2,positive
concise coherent,2,positive
conflict fast,2,positive
conflict pros,2,positive
conflicts pros,2,positive
confusing hilarious,2,positive
confusing skill,2,positive
cons adoring,2,positive
cons amazingly,2,positive
cons beautiful,2,positive
cons competitive,2,positive
cons fast,2,positive
cons humor,2,positive
cons improvements,2,positive
cons quiet,2,positive
cons realistic,2,positive
cons simplified,2,positive
cons variety,2,positive
cons worth,2,positive
cons wow,2,positive
consistent enjoyable,2,positive
consistent improvements,2,positive
consistent solid,2,positive
consistent thrill,2,positive
consistent victory,2,positive
consistent wins,2,positive
consistently amazed,2,positive
consistently amusing,2,positive
consistently clever,2,positive
consistently decent,2,positive
consistently excellent,2,positive
consistently perfect,2,positive
consistently successful,2,positive
contrived happy,2,positive
contrived modern,2,positive
convenience fun,2,positive
convenient romantic,2,positive
cool advanced,2,positive
cool advantages,2,positive
cool beautiful,2,positive
cool bonus,2,positive
cool bonuses,2,positive
cool cute,2,positive
cool decent,2,positive
cool entertaining,2,positive
cool exciting,2,positive
cool fantastic,2,positive
cool golden,2,positive
cool improvements,2,positive
cool likable,2,positive
cool neat,2,positive
cool perfect,2,positive
cool refund,2,positive
cool reward,2,positive
cool rewarding,2,positive
cool stunning,2,positive
cool survivor,2,positive
coolest free,2,positive
correctly pretty,2,positive
corruption redemption,2,positive
cracked free,2,positive
crap bonus,2,positive
crap glad,2,positive
crap lucky,2,positive
crap nice,2,positive
crap super,2,positive
crap support,2,positive
crap trust,2,positive
crap worth,2,positive
crappy skill,2,positive
crash galore,2,positive
crash pretty,2,positive
crashed nice,2,positive
crashes fun,2,positive
crashes nice,2,positive
crashes pros,2,positive
crashes refund,2,positive
crashes stability,2,positive
crashes support,2,positive
crashes win,2,positive
crashing pretty,2,positive
crass humour,2,positive
crazily satisfying,2,positive
crazy affordable,2,positive
crazy creative,2,positive
crazy excited,2,positive
crazy exciting,2,positive
crazy fans,2,positive
crazy flashy,2,positive
crazy free,2,positive
crazy love,2,positive
crazy nice,2,positive
crazy precise,2,positive
crazy pros,2,positive
crazy realistic,2,positive
crazy satisfying,2,positive
crazy skill,2,positive
crazy stylish,2,positive
crazy survival,2,positive
crazy witty,2,positive
crazy wonderful,2,positive
creative achievements,2,positive
creative enthusiast,2,positive
creative imaginative,2,positive
creative inventive,2,positive
creative masterpiece,2,positive
creative nice,2,positive
creative powerful,2,positive
creative recommended,2,positive
creative smart,2,positive
creepy adorable,2,positive
creepy amazing,2,positive
creepy awesome,2,positive
creepy clever,2,positive
creepy free,2,positive
creepy handsome,2,positive
creepy pros,2,positive
creepy silent,2,positive
creepy super,2,positive
creepy survival,2,positive
crisp beautiful,2,positive
crisp easy,2,positive
crisp smooth,2,positive
cruel humor,2,positive
crushed instantly,2,positive
cry fast,2,positive
cry mercy,2,positive
cursed treasure,2,positive
cute accessible,2,positive
cute amazing,2,positive
cute amusing,2,positive
cute attractive,2,positive
cute calming,2,positive
cute creative,2,positive
cute cuteness,2,positive
cute enjoyable,2,positive
cute enjoyed,2,positive
cute entertaining,2,positive
cute friendly,2,positive
cute holy,2,positive
cute memorable,2,positive
cute uplifting,2,positive
cute worth,2,positive
damage protection,2,positive
damage successful,2,positive
damaged hero,2,positive
damn accurate,2,positive
damn awsome,2,positive
damn bright,2,positive
damn brilliant,2,positive
damn classic,2,positive
damn engaging,2,positive
damn generous,2,positive
damn heartfelt,2,positive
damn perfectly,2,positive
damn popular,2,positive
damn proud,2,positive
damn recommended,2,positive
damn rockstar,2,positive
damn safe,2,positive
damn slick,2,positive
damn super,2,positive
damn sweeping,2,positive
damn wow,2,positive
damned entertaining,2,positive
damned fast,2,positive
damned pros,2,positive
damned sexy,2,positive
danger worth,2,positive
dark beauty,2,positive
dark charm,2,positive
dark dynamic,2,positive
dark enjoy,2,positive
dark fascinating,2,positive
dark hero,2,positive
dark heroic,2,positive
dark intriguing,2,positive
dark silent,2,positive
dark stylish,2,positive
darker humor,2,positive
dead achievements,2,positive
dead brilliant,2,positive
dead cool,2,positive
dead elite,2,positive
dead fortunately,2,positive
dead honest,2,positive
dead incredibly,2,positive
dead love,2,positive
dead loved,2,positive
dead trust,2,positive
dead wow,2,positive
deadly awesome,2,positive
deadly lead,2,positive
deadly silent,2,positive
death achievement,2,positive
death brilliant,2,positive
death fun,2,positive
death godlike,2,positive
death instantly,2,positive
death leads,2,positive
death skill,2,positive
death super,2,positive
debt pretty,2,positive
decent achievements,2,positive
decent balanced,2,positive
decent easy,2,positive
decent fairly,2,positive
decent homage,2,positive
decent hot,2,positive
decent improvement,2,positive
decent love,2,positive
decent positives,2,positive
decent prize,2,positive
decent pros,2,positive
decent rockstar,2,positive
decent success,2,positive
deception intrigue,2,positive
deception magic,2,positive
deceptively charming,2,positive
deceptively engrossing,2,positive
deceptively tough,2,positive
dedicated competitive,2,positive
dedicated passionate,2,positive
dedicated skilled,2,positive
defeat legendary,2,positive
defeat powerful,2,positive
defeat pros,2,positive
defeat strong,2,positive
defeated fairly,2,positive
defensive capability,2,positive
defensive magic,2,positive
defiantly fun,2,positive
defiantly guarantee,2,positive
defiantly recommended,2,positive
degrade faster,2,positive
delight cute,2,positive
delight fans,2,positive
delightful modern,2,positive
delightfully charming,2,positive
delightfully cheerful,2,positive
delightfully easy,2,positive
demise enjoy,2,positive
denial led,2,positive
depressing beautiful,2,positive
depressing fun,2,positive
destroy pretty,2,positive
destruction magic,2,positive
destruction nice,2,positive
destruction pros,2,positive
destructive magic,2,positive
devastating defeat,2,positive
devilishly clever,2,positive
devilishly handsome,2,positive
die awesome,2,positive
die classic,2,positive
die gloriously,2,positive
die progress,2,positive
die protect,2,positive
die quicker,2,positive
die super,2,positive
die survival,2,positive
die tough,2,positive
die wonderful,2,positive
die wow,2,positive
died fun,2,positive
died glory,2,positive
died heroically,2,positive
died likes,2,positive
dies fast,2,positive
dies faster,2,positive
dies fun,2,positive
dies holy,2,positive
difficult achievement,2,positive
difficult amazing,2,positive
difficult classic,2,positive
difficult easier,2,positive
difficult enjoy,2,positive
difficult entertaining,2,positive
difficult exciting,2,positive
difficult feat,2,positive
difficult intriguing,2,positive
difficult pros,2,positive
difficult recommended,2,positive
difficult super,2,positive
difficult top,2,positive
difficult trust,2,positive
difficulties amazing,2,positive
difficulties enjoy,2,positive
difficulties fun,2,positive
difficulties ideally,2,positive
difficulties nice,2,positive
difficulties pros,2,positive
difficulties reward,2,positive
difficulties worth,2,positive
difficulty achievements,2,positive
difficulty bonus,2,positive
difficulty classic,2,positive
difficulty consistent,2,positive
difficulty cool,2,positive
difficulty decent,2,positive
difficulty defeating,2,positive
difficulty enjoying,2,positive
difficulty fortunately,2,positive
difficulty humor,2,positive
difficulty master,2,positive
difficulty perfect,2,positive
difficulty perfectly,2,positive
difficulty proves,2,positive
difficulty recommend,2,positive
difficulty recommended,2,positive
difficulty solid,2,positive
difficulty successfully,2,positive
difficulty survival,2,positive
difficulty tremendously,2,positive
difficulty trust,2,positive
difficulty winning,2,positive
difficulty wonderful,2,positive
difficulty wow,2,positive
difficulty yay,2,positive
diplomatic supremacy,2,positive
dirty pros,2,positive
disable fast,2,positive
disabled achievements,2,positive
disapointed easy,2,positive
disappoint love,2,positive
disappointed fantastic,2,positive
disappointed glad,2,positive
disappointed love,2,positive
disappointed recommend,2,positive
disappointing pros,2,positive
disaster relief,2,positive
disaster trust,2,positive
disgusting humor,2,positive
disgustingly beautiful,2,positive
dislike free,2,positive
dislike grand,2,positive
dislike marvel,2,positive
dislike pretty,2,positive
disliked pros,2,positive
dislikes free,2,positive
disorganized fun,2,positive
disregard pretty,2,positive
dissapointed love,2,positive
distinction competitive,2,positive
distress strong,2,positive
disturbing fast,2,positive
disturbingly accurate,2,positive
disturbingly easy,2,positive
disturbingly enjoyable,2,positive
disturbingly realistic,2,positive
divine blessing,2,positive
divine magic,2,positive
doom love,2,positive
doom popular,2,positive
doom trust,2,positive
dope top,2,positive
doubt amazing,2,positive
doubt beautiful,2,positive
doubt exceptional,2,positive
doubt lead,2,positive
doubt super,2,positive
doubts amazing,2,positive
downhill decent,2,positive
downhill pretty,2,positive
drain support,2,positive
drawbacks pros,2,positive
dubious pleasure,2,positive
dull amazing,2,positive
dull fairly,2,positive
dull realistic,2,positive
dull recommended,2,positive
dull survival,2,positive
dumb easy,2,positive
dumb hero,2,positive
dumb humour,2,positive
dungeon pretty,2,positive
dungeon survival,2,positive
dungeon variety,2,positive
dungeons beautiful,2,positive
dungeons cool,2,positive
dungeons easy,2,positive
dungeons fame,2,positive
dungeons fast,2,positive
dungeons humor,2,positive
dust nice,2,positive
dusty gem,2,positive
dwindling fast,2,positive
dying happy,2,positive
dynamic easy,2,positive
dynamic engaging,2,positive
dynamic rich,2,positive
dynamic skill,2,positive
eagerly happily,2,positive
easier enjoy,2,positive
easier fast,2,positive
easier nice,2,positive
easier recommendation,2,positive
easier survival,2,positive
easiest refund,2,positive
easy beautiful,2,positive
easy bonus,2,positive
easy brilliant,2,positive
easy decent,2,positive
easy easier,2,positive
easy entertaining,2,positive
easy fairly,2,positive
easy fine,2,positive
easy grand,2,positive
easy humor,2,positive
easy intuitive,2,positive
easy mastery,2,positive
easy obtainable,2,positive
easy recovery,2,positive
easy refund,2,positive
easy reward,2,positive
easy skill,2,positive
easy solid,2,positive
educated elite,2,positive
educated properly,2,positive
effective perfect,2,positive
effectively defeat,2,positive
effectively pros,2,positive
efficient educated,2,positive
elegant beautiful,2,positive
elegantly beautiful,2,positive
elite elite,2,positive
elite fans,2,positive
embarrassment humour,2,positive
encourage free,2,positive
encourage supporting,2,positive
encouraging empathy,2,positive
encouraging fast,2,positive
endearing charming,2,positive
enemies bonuses,2,positive
enemies capable,2,positive
enemies decent,2,positive
enemies defeat,2,positive
enemies encourage,2,positive
enemies enjoy,2,positive
enemies entertaining,2,positive
enemies fans,2,positive
enemies fantastic,2,positive
enemies glow,2,positive
enemies gold,2,positive
enemies lead,2,positive
enemies powerful,2,positive
enemies properly,2,positive
enemies stunned,2,positive
enemies successfully,2,positive
enemies support,2,positive
enemies supporting,2,positive
enemies unlimited,2,positive
enemies upgradable,2,positive
enemies win,2,positive
enemy advantages,2,positive
enemy capable,2,positive
enemy deserving,2,positive
enemy easier,2,positive
enemy fine,2,positive
enemy free,2,positive
enemy fun,2,positive
enemy magic,2,positive
enemy smarter,2,positive
enemy support,2,positive
enemy trust,2,positive
enemy wins,2,positive
enemy won,2,positive
engaging dynamic,2,positive
engaging enjoyable,2,positive
engaging loved,2,positive
engaging pretty,2,positive
engaging rewarding,2,positive
engaging top,2,positive
engaging winning,2,positive
engrossing heartfelt,2,positive
engrossing rich,2,positive
enhanced pretty,2,positive
enhanced support,2,positive
enjoy achievement,2,positive
enjoy beautifully,2,positive
enjoy calm,2,positive
enjoy charming,2,positive
enjoy chivalry,2,positive
enjoy easy,2,positive
enjoy elite,2,positive
enjoy enjoyed,2,positive
enjoy enjoyment,2,positive
enjoy excellent,2,positive
enjoy exciting,2,positive
enjoy fair,2,positive
enjoy faster,2,positive
enjoy futuristic,2,positive
enjoy hero,2,positive
enjoy incredible,2,positive
enjoy liberation,2,positive
enjoy love,2,positive
enjoy neat,2,positive
enjoy peaceful,2,positive
enjoy perfectly,2,positive
enjoy recommend,2,positive
enjoy responsibly,2,positive
enjoy strong,2,positive
enjoy stunning,2,positive
enjoy supporting,2,positive
enjoy surreal,2,positive
enjoy tougher,2,positive
enjoy trust,2,positive
enjoy victory,2,positive
enjoy worth,2,positive
enjoyable enjoyable,2,positive
enjoyable entertaining,2,positive
enjoyable excellent,2,positive
enjoyable expansive,2,positive
enjoyable heartfelt,2,positive
enjoyable loved,2,positive
enjoyable memorable,2,positive
enjoyable perfect,2,positive
enjoyable positives,2,positive
enjoyable skill,2,positive
enjoyed beautiful,2,positive
enjoyed elite,2,positive
enjoyed free,2,positive
enjoyed grand,2,positive
enjoyed peace,2,positive
enjoyed successes,2,positive
enjoyed unreal,2,positive
enjoyed wow,2,positive
enjoying satisfying,2,positive
enjoying survival,2,positive
enjoyment appeal,2,positive
enjoyment excellent,2,positive
enjoyment gained,2,positive
enjoys awesome,2,positive
enjoys easy,2,positive
enjoys fantastic,2,positive
enjoys marvel,2,positive
enjoys rich,2,positive
enjoys top,2,positive
entertain fans,2,positive
entertaining amazing,2,positive
entertaining beautiful,2,positive
entertaining enjoyable,2,positive
entertaining enjoyed,2,positive
entertaining exciting,2,positive
entertaining humor,2,positive
entertaining humorous,2,positive
entertaining insightful,2,positive
entertaining nice,2,positive
entertaining pros,2,positive
entertaining skill,2,positive
entertaining super,2,positive
enthusiastically recommended,2,positive
error galore,2,positive
errors lead,2,positive
everlasting classic,2,positive
everlasting love,2,positive
everlasting masterpiece,2,positive
evil goodness,2,positive
evil progressive,2,positive
evil win,2,positive
evil won,2,positive
evil wow,2,positive
exceed recommended,2,positive
exceedingly awesome,2,positive
exceedingly enjoyable,2,positive
exceedingly fun,2,positive
exceedingly generous,2,positive
exceedingly popular,2,positive
exceedingly rewarding,2,positive
excelent free,2,positive
excelent fun,2,positive
excellent amazing,2,positive
excellent bargain,2,positive
excellent beautiful,2,positive
excellent concise,2,positive
excellent cooperative,2,positive
excellent crisp,2,positive
excellent dawn,2,positive
excellent dynamic,2,positive
excellent fantastic,2,positive
excellent futuristic,2,positive
excellent gem,2,positive
excellent hilarious,2,positive
excellent humour,2,positive
excellent imaginative,2,positive
excellent loved,2,positive
excellent luck,2,positive
excellent masterpiece,2,positive
excellent pros,2,positive
excellent realistic,2,positive
excellent recommended,2,positive
excellent revival,2,positive
excellent satisfying,2,positive
excellent supporting,2,positive
excellent survivor,2,positive
excellently fun,2,positive
exceptional extraordinary,2,positive
exceptional skill,2,positive
exceptional survival,2,positive
exceptionally amazing,2,positive
exceptionally awesome,2,positive
exceptionally creative,2,positive
exceptionally enjoyable,2,positive
exceptionally memorable,2,positive
exceptionally rich,2,positive
exceptionally solid,2,positive
excessive passion,2,positive
excessively powerful,2,positive
excited amazing,2,positive
excitement compassion,2,positive
excitement fun,2,positive
excitement intrigue,2,positive
exciting fantastic,2,positive
exciting flashy,2,positive
exciting fresh,2,positive
exciting love,2,positive
exciting pretty,2,positive
exciting rewarding,2,positive
exciting variety,2,positive
exciting worth,2,positive
excitingly rich,2,positive
excruciating pleasure,2,positive
excruciatingly tough,2,positive
exellent fast,2,positive
expansive beautiful,2,positive
expensive beautiful,2,positive
expensive free,2,positive
expensive fun,2,positive
expensive holy,2,positive
expensive pros,2,positive
expensive recommended,2,positive
expire skill,2,positive
explode fun,2,positive
explode instantly,2,positive
explode joy,2,positive
explode spectacularly,2,positive
explosive skilled,2,positive
exquisitely balanced,2,positive
extraordinarily engaging,2,positive
extraordinarily lucky,2,positive
extraordinary beauty,2,positive
fabulous amazing,2,positive
fabulous prize,2,positive
fail reputation,2,positive
fail succeed,2,positive
failing pretty,2,positive
fails pros,2,positive
failure fun,2,positive
fair accurate,2,positive
fair prize,2,positive
fair smooth,2,positive
fair tough,2,positive
fair worth,2,positive
fairly accessible,2,positive
fairly appealing,2,positive
fairly authentic,2,positive
fairly avid,2,positive
fairly bright,2,positive
fairly consistently,2,positive
fairly dedicated,2,positive
fairly elegant,2,positive
fairly endearing,2,positive
fairly enjoy,2,positive
fairly exceptional,2,positive
fairly excited,2,positive
fairly fluent,2,positive
fairly harmless,2,positive
fairly honest,2,positive
fairly luck,2,positive
fairly nicely,2,positive
fairly perfect,2,positive
fairly pleasant,2,positive
fairly positive,2,positive
fairly precise,2,positive
fairly promising,2,positive
fairly quiet,2,positive
fairly rapid,2,positive
fairly refreshing,2,positive
fairly relaxed,2,positive
